,2019,2020,2021,2022,2023,2024,
AUSTRIA,"51,553","43,896","66,373","29,644","39,874","42,063",
BELGIUM,"91,992","78,503","80,688","65,261","78,339","75,903",
BULGARIA,"9,606","7,295","9,935","8,811","9,233","12,082",
CROATIA,"10,885","7,787","9,361","8,367","9,629","10,740",
CZECH REPUBLIC,"31,508","25,863","29,345","27,085","34,223","32,264",
DENMARK,"38,663","35,109","36,592","32,683","31,107","33,379",
FINLAND,"19,317","16,558","16,810","14,948","15,212","13,730",
FRANCE,"541,448","449,912","483,279","397,519","433,778","436,640",
GERMANY,"409,801","349,081","351,187","312,391","359,689","374,700",
GREECE,"8,764","7,733","11,448","10,595","10,986","11,626",
HUNGARY,"32,184","25,947","28,467","24,047","27,928","30,479",
IRELAND,"27,995","23,798","31,457","26,000","31,848","34,226",
ITALY,"215,681","183,003","211,825","188,133","230,826","233,809",
NETHERLANDS,"92,683","71,564","80,500","72,701","85,823","149,340",
NORWAY,"47,341","39,473","41,188","35,678","37,082","35,454",
POLAND,"100,660","81,806","107,972","97,934","101,825","97,197",
PORTUGAL,"44,028","31,575","33,650","29,063","36,422","39,535",
ROMANIA,"29,328","21,381","25,583","21,313","26,332","28,653",
SLOVAKIA,"12,295","8,604","11,649","11,233","13,839","12,725",
SPAIN,"242,993","179,570","174,604","145,602","178,511","202,356",
SWEDEN,"62,442","38,191","42,874","41,781","52,015","44,903",
SWITZERLAND,"42,918","32,563","33,606","28,749","35,728","36,301",
UNITED KINGDOM,"425,419","333,596","401,824","329,509","404,384","415,796",
OTHER COUNTRIES EUROPE,"62,211","47,665","57,101","57,295","60,575","48,608",
RUSSIA,"211,098","197,207","258,521","178,681","267,470","283,603",
TURKEY,"104,691","186,041","210,997","238,560","316,705","305,448",
UKRAINE,"14,105","13,536","18,510","7,770","13,001","14,165",
CANADA,"1,479,594","1,267,724","1,384,245","1,304,482","1,506,596","1,652,671",
MEXICO,"596,215","445,217","526,620","647,481","818,214","919,215",
UNITED STATES OF AMERICA,"12,768,444","11,479,518","12,058,515","11,371,749","12,892,621","13,356,433",
ARGENTINA,"47,341","39,473","41,188","134,740","140,399","136,448",
BRAZIL,"525,777","442,495","561,384","527,799","587,289","686,223",
CHILE,"87,892","64,707","111,537","113,192","89,528","87,309",
COLOMBIA,"28,125","21,391","28,579","29,089","24,425","21,860",
ECUADOR,"21,625","16,441","22,967","25,981","26,041","17,826",
PERU,"40,266","27,503","41,420","43,180","48,422","40,349",
PUERTO RICO,"19,323","19,454","19,863","18,111","22,391","26,174",
OTHER COUNTRIES AMERICA,"88,426","67,245","95,825","110,313","121,154","129,758",
ASEAN,"1,078,852","806,948","904,503","1,054,073","878,830","679,827",
AUSTRALIA,"263,604","240,164","296,575","303,741","327,627","323,835",
CHINA,"4,324,840","5,133,338","4,795,939","3,300,458","4,030,874","3,873,204",
INDIA,"854,743","505,102","677,119","933,396","978,761","951,991",
INDONESIA,"244,947","143,152","227,396","264,477","226,476","192,737",
ISRAEL,"28,549","23,883","31,249","30,383","23,943","22,585",
JAPAN,"894,125","788,634","772,642","753,023","786,359","696,294",
KAZAKHSTAN,"5,936","6,209","7,296","4,358","9,584","12,037",
KUWAIT,"119,018","102,203","129,670","16,653","16,479","17,505",
MALAYSIA,"54,105","48,543","56,248","78,885","80,676","69,567",
NEW ZEALAND,"45,683","35,002","53,279","48,369","38,487","41,416",
PAKISTAN,"25,025","20,042","38,503","39,074","23,656","27,633",
PHILIPPINES,"151,851","90,345","106,092","132,967","135,742","117,330",
SAUDI ARABIA,"73,531","64,835","80,722","97,006","113,068","99,507",
SOUTH KOREA,"298,099","287,639","265,708","263,171","260,366","192,978",
TAIWAN,"45,001","35,533","40,000","39,354","61,200","68,528",
THAILAND,"538,914","448,652","436,380","506,039","368,788","232,619",
UNITED ARAB EMIRATES,"33,785","28,810","32,064","36,125","33,753","37,403",
UZBEKIZTAN,"49,276","48,750","46,123","51,395","49,044","52,510",
VIETNAM,"47,480","45,630","53,157","46,928","48,783","46,144",
OTHER COUNTRIES ASIA,"194,680","167,853","181,861","244,053","300,683","287,425",
EGYPT,"43,125","51,940","62,733","41,268","16,869","15,387",
MOROCCO,"17,562","16,262","21,151","18,144","16,286","19,314",
SOUTH AFRICA,"177,520","126,092","146,334","150,788","184,180","164,297",
OTHER COUNTRIES AFRICA,"14,179","12,639","16,697","75,653","85,045","79,016",
,,,,,,,
,,,,,,,
,,,,,,,
